,subject,session_id,electrode,electrode_type,fooof_export_path,offset,log knee,exponent,tau (ms),rsquared
3372,DBS4078,2,ecog_136,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_136-fooof.json,2.7867766127547737,1.2335340504554015,4.15017238186999,9.295785229408075,0.9940200506996341
3373,DBS4078,2,ecog_137,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_137-fooof.json,3.1645268864880367,1.1167102912762,3.471220335740269,12.164936334051397,0.9794198418773206
3374,DBS4078,2,ecog_138,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_138-fooof.json,2.759388578957896,1.1585116992704287,3.8144404022280676,11.048630059624852,0.9965919500596632
3375,DBS4078,2,ecog_139,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_139-fooof.json,2.744909007606481,1.1572372662049044,3.851434885203113,11.08109977818355,0.9985195708111116
3376,DBS4078,2,ecog_140,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_140-fooof.json,2.6797198396241813,1.1515111928359982,3.820281360421768,11.228168949359794,0.9981209939222927
3377,DBS4078,2,ecog_141,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_141-fooof.json,2.2021685707514544,1.1945081523944279,3.488872251098948,10.169789863010877,0.9969019973000741
3378,DBS4078,2,ecog_142,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_142-fooof.json,2.0451317802701157,1.2468328270713713,3.528624788947359,9.015447829871697,0.9970235406124309
3379,DBS4078,2,ecog_143,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_143-fooof.json,1.7638141427096816,1.191040408428435,3.329771250955419,10.251318413005686,0.9975239828525
3380,DBS4078,2,ecog_144,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_144-fooof.json,1.7510053205791056,1.208050347946961,3.0862099702683317,9.857568046894528,0.9967744119378112
3381,DBS4078,2,ecog_145,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_145-fooof.json,1.7856917000007835,1.223415306175586,3.3558134498189642,9.514913083574513,0.9963262251386057
3382,DBS4078,2,ecog_146,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_146-fooof.json,1.8116649580496873,1.2100624952516255,3.5210865294484237,9.812002188262452,0.9952086509292524
3383,DBS4078,2,ecog_147,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_147-fooof.json,1.9566615494481456,1.1566861152100916,3.472445813530983,11.095171419432408,0.9938800227748201
3384,DBS4078,2,ecog_148,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_148-fooof.json,1.9207362196664097,1.1736462779662469,3.5090450053322653,10.670231788699907,0.9963355247130757
3385,DBS4078,2,ecog_149,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_149-fooof.json,2.38953941759241,1.0767684892517013,3.4784512310707085,13.336800119556687,0.9951655657417264
3386,DBS4078,2,ecog_150,ecog,../fooof_fits_dbs_20211003_r4_fir1_pw1/DBS4078-2-ecog_150-fooof.json,2.275005781904239,1.1270734145969936,3.486969564721193,11.878092884163605,0.9959966432702012
